r,seed,station,mean_excess3,std_excess3,highL3,mean_res_pair,std_res_pair,mean_phi1,mean_phi2,mean_abs_tau,std_abs_tau,mean_tau,var_classical,ac1_classical,lam_regime,f3_share,alpha3
3.54409,45457,S_k_p8,2.382265800645289,0.03125796194987555,0.9945404913557779,3.156661153394262e-16,3.8421656002540276e-17,0.9945404913557779,0.9927206551410374,0.8232667697932781,0.05431476952565043,0.8232667697932781,0.045713069866559514,-0.9243988367166495,0.0,0.3335367714371783,1.0
3.54409,45474,S_k_p8,2.335282940525449,0.11681052126843197,0.9945404913557779,2.595476948346393e-16,1.2561524815785667e-16,0.4934789202305126,0.5058045192599333,0.13987523242550665,0.040812719844133725,0.13914084595071796,0.043738345474084374,-0.9741411498016846,0.0,0.4988105900269607,1.0
3.54409,45491,S_k_p8,2.3538434355150497,0.09244052566173441,0.9945404913557779,2.7591556748186883e-16,1.1071641156492335e-16,0.49696693964209887,0.5071959356991204,0.13990062344724136,0.03828626282800378,0.13935373990218597,0.04365560488030347,-0.9730235694183318,0.0,0.4975928434036867,1.0
3.54409,45508,S_k_p8,2.380825628939752,0.03531506417929453,0.9945404913557779,3.144969815789098e-16,4.28770940447464e-17,0.9499545040946314,0.9476797088262057,0.79889334208347,0.09359441296082588,0.79889334208347,0.04579107460583279,-0.9265020811418926,0.0,0.34387289602001636,1.0
3.54409,45525,S_k_p8,2.3766827813166915,0.051589891341753735,0.9945404913557779,8.959134525193926e-07,1.4802919626882427e-05,0.9783136184410071,0.9751289050652109,0.8114951014859607,0.06802742351996503,0.8114951014859607,0.04574785287075969,-0.9254540269392824,0.0,0.33736303307771875,1.0
3.555,45550,S_k_p8,2.3642921384986835,0.0809497444781071,0.9945404913557779,2.969599751711639e-16,8.332897845224284e-17,0.9208371246587808,0.916287534121929,0.7839614681479399,0.10794852237362786,0.7839614681479399,0.04631362858362115,-0.9221460820180534,0.0,0.35122107969139266,1.0
3.555,45567,S_k_p8,2.374951635433991,0.05731941772500813,0.9945404913557779,2.9929824269219666e-16,7.936343137682598e-17,0.4998483469821049,0.5043865635426145,0.14430889545149142,0.03728617382092911,0.14430889545149142,0.04414027231398232,-0.9660436037270491,0.0,0.49757491032738943,1.0
3.555,45584,S_k_p8,2.370262013492148,0.06255609280860845,0.9945404913557779,2.9929824269219666e-16,7.936343137682598e-17,0.9626933575978162,0.9583712465878071,0.8134345849153892,0.08193600675821684,0.8134345849153892,0.04623978182811591,-0.920024825657025,0.0,0.3411094639930171,1.0
3.555,45601,S_k_p8,2.371650103886461,0.06713483788713541,0.9945404913557779,2.957908414106475e-16,8.52185439539981e-17,0.5,0.5056983621474068,0.14325028516070562,0.0371103164320478,0.14325028516070562,0.04414150449348442,-0.965802196305168,0.0,0.49721086539912923,1.0
3.555,45618,S_k_p8,2.3688602914038634,0.06855880876391954,0.9945404913557779,2.8760690508703272e-16,9.703105889279344e-17,0.5,0.5074385805277526,0.1409260300942202,0.0371033136742303,0.1409260300942202,0.044157175366542595,-0.9664881212133173,0.0,0.49677866533319115,1.0
3.555,45635,S_k_p8,2.3714359225850568,0.06340217602708402,0.9945404913557779,2.934525738896147e-16,8.883108779380076e-17,0.5,0.5072452229299362,0.14353739902185975,0.03771515186293295,0.14353739902185975,0.04414668632854865,-0.9664863192488539,0.0,0.4968266504540209,1.0
3.557946,45579,S_k_p8,2.3723698211138133,0.06601433319849105,0.9945404913557779,2.9812910893168027e-16,8.137876454364024e-17,0.5,0.5051182893539582,0.14187526367599493,0.03689878923502524,0.14187526367599493,0.0442788898681619,-0.9643150968893073,0.0,0.4973550992546287,1.0
3.557946,45596,S_k_p8,2.3672235948642117,0.0716701131439598,0.9945404913557779,2.9812910893168027e-16,8.137876454364024e-17,0.9886260236578708,0.9840764331210191,0.820391724870701,0.05619701290500319,0.820391724870701,0.04638459325052455,-0.9189628013924509,0.0,0.33517325973616424,1.0
3.557946,45613,S_k_p8,2.3901004941437454,0.0,0.9945404913557779,3.2034265038149176e-16,4.930380657631324e-32,0.33333333333333326,0.3328783742796481,0.456403615681495,0.0329804223355717,0.456403615681495,0.04735811091586038,-0.9357025207539619,0.0,0.5988494201439185,1.0
3.557946,45630,S_k_p8,2.376678261374756,0.056651665887334786,0.9945404913557779,3.0748217901581144e-16,6.2883747969486e-17,0.7565969062784349,0.7538671519563239,0.6959093110829857,0.1663517086030928,0.6959093110829857,0.04669373938748325,-0.9240620687915926,0.0,0.3970214311658422,1.0
3.557946,45647,S_k_p8,2.353906194844322,0.09576035068793044,0.9945404913557779,2.79422968763418e-16,1.0692941091475269e-16,0.8058083105853807,0.7992114043069456,0.7194272566758855,0.14015555151572648,0.7194272566758855,0.04669471307708765,-0.9242072597866526,0.0,0.38258028760595497,1.0
3.557946,45664,S_k_p8,2.3795249495428434,0.04932831345589102,0.9945404913557779,3.0865131277632782e-16,6.007118027760978e-17,0.6292083712465878,0.6271610555050046,0.6216112751761746,0.13142614148370932,0.6216112751761746,0.04691816735782183,-0.9283637552043793,0.0,0.44183931278403815,1.0
3.562057,45620,S_k_p8,2.376298278540784,0.062484889648284386,0.9945404913557779,3.0397477773426227e-16,7.05366603258497e-17,0.44555656657567483,0.442576584774037,0.5203714120533133,0.10087177480182256,0.5203714120533133,0.04736367380234239,-0.9311252857882154,0.0,0.5282596350188706,1.0
3.562057,45637,S_k_p8,2.380470488596616,0.04068257163444735,0.9945404913557779,3.0631304525529505e-16,6.55549469524201e-17,0.5,0.5039581437670608,0.1454593040516258,0.038641127083350824,0.1454593040516258,0.0444510955921084,-0.96147313408651,0.0,0.49764381815259545,1.0
3.562057,45654,S_k_p8,2.365067414970739,0.07855157587663111,0.9945404913557779,2.934525738896147e-16,8.883108779380076e-17,0.806869881710646,0.8017895056111617,0.7221909717339333,0.1590750291467752,0.7221909717339333,0.04685431908931442,-0.9215251509366716,0.0,0.3820453817248248,1.0
3.562057,45671,S_k_p8,2.3640285460402284,0.07746452945525718,0.9945404913557779,2.969599751711639e-16,8.332897845224284e-17,0.9497270245677889,0.944722474977252,0.8013484585696651,0.08961153701497422,0.8013484585696651,0.046638314257902144,-0.9176863109287761,0.0,0.34425196850381784,1.0
3.562057,45688,S_k_p8,2.3644383378868845,0.07997447021954432,0.9945404913557779,4.139592732011906e-06,3.4516641487973214e-05,0.7854868061874432,0.7801031240521686,0.7155150861732215,0.1704808171021063,0.7155150861732215,0.04683530807155499,-0.9217590985947803,0.0,0.38847258833619275,1.0
